===== 1. Tables =====

TABLE_NAME                    |  NUM_ROWS|LAST_ANAL
INBOUND_SHIPMENT_STATUS       |     63908|24-JUN-26
INBOUND_TRANSACTION           |     10546|30-MAY-12
INVOICE                       |         0|13-MAR-11
ITEMDEVICE                    |       120|13-MAR-11
JOB_EFOLDER_NOTES             |        10|13-MAR-11
LAST_JOB_COIL_WT_ZEROED_OUT   |         0|29-APR-19
LEFT_TRAPEZOID                |         0|12-MAR-11
LIFTGATE_SHAPE                |       134|21-AUG-12
LINE                          |         8|24-JUN-26
LINE_CODES                    |        11|24-JUN-26
LINE_CURRENT_STATUS           |         7|13-NOV-12
LINE_DEFAULT_SCHEDULE         |        21|13-MAR-11
LINE_DIE_4SHEET_TYPE          |       118|24-JUN-26
LINE_EMPLOYEES                |        95|24-JUN-26
LINE_OPERATOR                 |        26|24-JUN-26
LINE_OPERATOR_GROUP           |         4|13-MAR-11
LINE_PRIORITY                 |        50|13-NOV-12
LINE_PRIORITY_COPY            |        40|13-MAR-11
LINE_PROFILE                  |         0|13-MAR-11
LINE_SCHEDULE                 |        21|13-MAR-11
LINE_SCHEDULE_PROFILE         |        56|13-MAR-11
LINE_SHIFT_EMPLOYEE           |         0|13-MAR-11
LINE_SPM_STATUS               |      8351|13-MAR-11
LUBE_WEIGHT                   |      1347|13-MAR-11
MAINT_ACTION                  |        51|13-MAR-11
MAINT_FREQUENCY               |        32|13-MAR-11
MAINT_LOG                     |      5327|13-MAR-11
MAINT_LOG_PART_USED           |         0|13-MAR-11
MAINT_LOG_STAFF_USED          |         0|13-MAR-11
MAINT_LOG_STATUS              |        22|13-MAR-11
MAINT_PROBLEMS                |       156|13-MAR-11
MAINT_PROBSWITH               |       150|13-MAR-11
METAL_DENSITY                 |        68|13-MAR-11
MICROSOFTDTPROPERTIES         |         0|13-MAR-11
MILL_ID_CODES                 |         3|24-JUN-26
ONHOLD_REASON                 |         7|24-JUN-26
OPERATOR_COMPETENCY_DISCIPLINE|        25|13-MAR-11
OPERATOR_RATE_TYPE            |         5|13-MAR-11
OPERATOR_SKILL_LEVEL          |         0|13-MAR-11
ORDER_COIL                    |         0|12-MAR-11
ORDER_ITEM                    |     65536|24-JUN-26
OUTBOUND_EDI_TRANSACTION      |     87412|24-JUN-26
PACKAGING                     |         0|12-MAR-11
PARALLELOGRAM                 |        13|13-MAR-11
PARTS                         |       762|13-MAR-11
PARTS_CATEGORIES              |        21|13-MAR-11
PARTS_NAMING_CONVENTION       |       335|13-MAR-11
PARTS_STATUS                  |         7|13-MAR-11
PARTS_SUPPLIERS               |       762|13-MAR-11
PARTS_UNIT                    |        16|13-MAR-11
PART_NUM                      |      9856|24-JUN-26
PART_NUM_CHEVRON              |       231|30-OCT-12
PART_NUM_CIRCLE               |         0|13-MAR-11
PART_NUM_FENDER               |         8|24-OCT-11
PART_NUM_LEFT_TRAPEZOID       |         0|13-MAR-11
PART_NUM_LIFTGATE             |         8|25-JUL-12
PART_NUM_PARALLELOGRAM        |         0|13-MAR-11
PART_NUM_RECTANGLE            |      3813|11-OCT-12
PART_NUM_REINFORCEMENT        |         8|03-OCT-12
PART_NUM_RIGHT_TRAPEZOID      |         0|13-MAR-11
PART_NUM_TRAPEZOID            |        96|25-SEP-12
PART_NUM_X1_SHAPE             |         0|13-MAR-11
PBCATCOL                      |         0|13-MAR-11
PBCATEDT                      |        21|13-MAR-11
PBCATFMT                      |        20|13-MAR-11
PBCATTBL                      |         0|13-MAR-11
PBCATVLD                      |         0|13-MAR-11
PLAN_TABLE                    |         0|29-MAY-12
PM                            |        77|13-MAR-11
PMACTIONPHRASES               |        31|13-MAR-11
PMCOMPLETIONDETAILS           |         0|13-MAR-11
PMCOMPLETIONS                 |      2051|13-MAR-11
PMCOMPLETIONS_STAFF_USED      |         0|13-MAR-11
PMCOMPLETION_PARTS_USED       |         0|13-MAR-11
PMINFOPHRASES                 |         7|13-MAR-11
PMPARTSREQUIRED               |         0|13-MAR-11
PMSHIFT                       |         8|13-MAR-11
PM_ACTIONS                    |      1618|13-MAR-11
PM_STATUS                     |         5|13-MAR-11
PROCESSING_STRING_863         |     46251|13-MAR-11
PROCESS_COIL                  |    183495|24-JUN-26
PROCESS_COIL_STATUS           |        11|24-JUN-26
PROCESS_COIL_TRACK            |     48265|24-JUN-26
PROCESS_PARTIAL_SKID          |      8335|13-MAR-11
PRODUCTION_CONTROL_USERS      |         6|24-JUN-26
PRODUCTION_SHEET_ITEM         |    713835|24-JUN-26
PRODUCT_TYPE                  |        43|12-APR-12
PROD_ITEM_STATUS              |        21|24-JUN-26
PROD_SHEET_ITEM_TRACK         |     22230|10-OCT-12
PST_TEST_RESULT               |     47516|13-MAR-11
QA_ALBL_DEFECT_DISPOSITION    |         7|24-JUN-26
QA_CUSTOMER_QUALITY_SKID      |      2248|24-JUN-26
QA_CUST_DEFECT_DISPOSITION    |         8|24-JUN-26
QA_DEFECT                     |        19|24-JUN-26
QA_EMAIL_GROUP                |        10|24-JUN-26
QA_EMAIL_GROUP_DETAIL         |        30|24-JUN-26
QR_REQUIRED_CUSTOMERS         |         2|24-JUN-26
QUALITY_COIL_EVAL_SCRAP       |      6954|08-NOV-12
QUALITY_SCRAP_WORKSHEET       |      6089|16-OCT-12
QUEST_COM_PRODUCTS            |         2|13-MAR-11
QUEST_COM_PRODUCTS_USED_BY    |         0|13-MAR-11
QUEST_COM_PRODUCT_PRIVS       |         0|13-MAR-11
QUEST_COM_USERS               |         3|13-MAR-11
QUEST_COM_USER_PRIVILEGES     |         0|13-MAR-11
RECEIVING_BOL                 |     10264|20-SEP-12
RECEIVING_BOL_COIL            |     82290|24-JUN-26
RECOVERY_JOB_COIL             |        11|13-APR-12
RECOVERY_REPORT_CUSTOMER      |        14|17-MAY-12
RECOVERY_REPORT_TEMPLATE      |        81|22-MAY-12
RECOVERY_REPORT_TYPE          |        12|22-MAY-12
RECOVERY_SCRAP_WORKSHEET      |         7|08-MAR-12
RECTANGLE                     |     33374|06-JUL-12
REINFORCEMENT                 |        42|03-OCT-12
REJECT_COIL                   |      3926|01-NOV-12
REJECT_COIL_PACKING_ITEM      |      3714|23-MAR-12
REPORT_AUTO_RUN_LOG           |         6|24-JUN-26
RETURN_SCRAP_ITEM             |     62220|06-AUG-12
RIGHT_TRAPEZOID               |         0|12-MAR-11
ROUTING                       |      1209|24-JUN-26
ROUTING_SEQUENCE              |         0|12-MAR-11
SAMPLE_REQUIREMENT_CODES      |         4|24-JUN-26
SCAN_LOG                      |     10533|20-SEP-12
SCHEDULE                      |         0|12-MAR-11
SCRAPED_PROCESS_PARTIAL_SKID  |        43|11-APR-12
SCRAPED_PRODUCTION_SHEET_ITEM |      2057|18-AUG-12
SCRAPED_SHEET_SKID            |      1879|14-AUG-12
SCRAPED_SHEET_SKID_DETAIL     |      2057|18-AUG-12
SCRAP_HANDLING_DESC           |         5|24-JUN-26
SCRAP_LOCATION                |         3|24-JUN-26
SCRAP_PACKING_ITEM            |     55393|16-JAN-12
SCRAP_SKID                    |    147779|24-JUN-26
SCRAP_SKID_DETAIL             |     63504|24-OCT-12
SCRAP_SKID_STATUS_DESC        |         5|24-JUN-26
SCRAP_STATUS_DESC             |         6|24-JUN-26
SCRAP_TRACK                   |     74503|19-JUN-12
SCRAP_TYPE                    |        49|13-MAR-11
SCRAP_TYPE_DESC               |        11|24-JUN-26
SECTOR                        |         2|24-JUN-26
SECURITY_APPLICATION          |        31|13-MAR-11
SECURITY_GROUP                |         9|13-MAR-11
SECURITY_GROUP_APPLICATION    |       126|13-MAR-11
SECURITY_USER                 |        63|18-OCT-12
SECURITY_USER_APPLICATION     |       763|14-AUG-12
SECURITY_USER_GROUP           |       154|13-MAR-11
SECURITY_USER_WEB_APP         |         3|13-MAR-11
SECURITY_USER_WEB_ROLE        |         6|13-MAR-11
SEQUENCE_KEY                  |        22|13-NOV-12
SHAPE_DIE                     |        68|07-FEB-12
SHEET_PACKING_ITEM            |    286902|09-MAR-12
SHEET_SKID                    |    617213|24-JUN-26
SHEET_SKID_DETAIL             |    334872|03-APR-12
SHEET_SKID_DIMENSION_CHECK    |       256|26-MAY-11
SHEET_SKID_PACKAGE            |         0|20-JUL-18
SHEET_SKID_PACKAGE_HISTORY    |         0|17-APR-19
SHIFT                         |      8366|12-NOV-12
SHIFT_COIL                    |     45285|12-NOV-12
SHIFT_COIL_JOB                |         0|13-MAR-11
SHIFT_PROFILE                 |         7|13-MAR-11
SHIFT_SCHEDULE                |     18724|13-MAR-11
SHIPMENT                      |    118738|24-JUN-26
SHIPMENT_TRACK                |       718|13-MAR-11
SHIPMENT_TYPES                |         3|24-JUN-26
SH_REPORT_DEFAULT_TEMPLATE    |         8|13-MAR-11
SH_REPORT_TEMPLATES           |        20|13-MAR-11
SH_REPORT_TYPE                |         8|13-MAR-11
SKETCH                        |       128|13-MAR-11
SKETCH_JPG                    |       214|24-OCT-11
SKID_DATA_ERROR_LOG           |         0|05-AUG-11
SKID_ONHOLD_REASON_TRACK      |         0|15-APR-22
SKID_STATUS                   |        18|24-JUN-26
SKID_TRACK                    |    444541|23-JUL-12
SMACTUALPARAMETER_S           |         0|12-MAR-11
SMAGENTJOB_S                  |         0|12-MAR-11
SMARCHIVE_S                   |         0|12-MAR-11
SMBREAKABLELINKS              |         0|12-MAR-11
SMCLIQUE                      |         0|12-MAR-11
SMCONFIGURATION               |         1|13-MAR-11
SMCONSOLESOSETTING_S          |         0|12-MAR-11
SMDATABASE_S                  |         0|12-MAR-11
SMDBAUTH_S                    |         0|12-MAR-11
SMDEFAUTH_S                   |         0|12-MAR-11
SMDEPENDENTLINKS              |         0|12-MAR-11
SMDISTRIBUTIONSET_S           |         0|12-MAR-11
SMFOLDER_S                    |         0|12-MAR-11
SMFORMALPARAMETER_S           |         0|12-MAR-11
SMGLOBALCONFIGURATION_S       |         0|12-MAR-11
SMHOSTAUTH_S                  |         0|12-MAR-11
SMHOST_S                      |         0|12-MAR-11
SMINSTALLATION_S              |         0|12-MAR-11
SMLOGMESSAGE_S                |         0|12-MAR-11
SMMONTHLYENTRY_S              |         0|12-MAR-11
SMMONTHWEEKENTRY_S            |         0|12-MAR-11
SMMOWNERLINKS                 |         0|12-MAR-11
SMOMSTRING_S                  |         0|12-MAR-11
SMOSNAMES_X                   |         0|12-MAR-11
SMOWNERLINKS                  |         0|12-MAR-11
SMPACKAGE_S                   |         0|12-MAR-11
SMPARALLELJOB_S               |         0|12-MAR-11
SMPARALLELOPERATION_S         |         0|12-MAR-11
SMPARALLELSTATEMENT_S         |         0|12-MAR-11
SMPRODUCTATTRIBUTE_S          |         0|12-MAR-11
SMPRODUCT_S                   |         0|12-MAR-11
SMP_AD_ADDRESSES_             |         0|12-MAR-11
SMP_AD_DISCOVERED_NODES_      |         0|12-MAR-11
SMP_AD_NODES_                 |         0|12-MAR-11
SMP_AD_PARMS_                 |         0|12-MAR-11
SMP_AUTO_DISCOVERY_ITEM_      |         0|12-MAR-11
SMP_AUTO_DISCOVERY_PARMS_     |         0|12-MAR-11
SMP_BLOB_                     |         9|13-MAR-11
SMP_BRM_ACTIVE_JOB_           |         0|12-MAR-11
SMP_BRM_CHANNEL_DEVICE_       |         0|12-MAR-11
SMP_BRM_DEFAULT_CHANNEL_      |         0|12-MAR-11
SMP_BRM_RC_CONNECT_STRING_    |         0|12-MAR-11
SMP_BRM_SAVED_JOB_            |         0|12-MAR-11
SMP_BRM_TEMP_SCRIPTS_         |         0|12-MAR-11
SMP_CREDENTIALS$              |         0|12-MAR-11
SMP_EBU_ACTIVE_JOB_           |         0|12-MAR-11
SMP_EBU_SAVED_JOB_            |         0|12-MAR-11
SMP_JOB_                      |         0|12-MAR-11
SMP_JOB_EVENTLIST_            |         0|12-MAR-11
SMP_JOB_HISTORY_              |         0|12-MAR-11
SMP_JOB_INSTANCE_             |         0|12-MAR-11
SMP_JOB_LIBRARY_              |         0|12-MAR-11
SMP_JOB_TASK_INSTANCE_        |         0|12-MAR-11
SMP_LONG_TEXT_                |         0|12-MAR-11
SMP_REP_VERSION               |         3|13-MAR-11
SMP_SERVICES                  |         1|13-MAR-11
SMP_SERVICE_DATA_             |         0|12-MAR-11
SMP_SERVICE_GROUP_DEFN_       |         0|12-MAR-11
SMP_SERVICE_GROUP_ITEM_       |         0|12-MAR-11
SMP_SERVICE_ITEM_             |         0|12-MAR-11
SMP_UPDATESERVICES_CALLED_    |         0|12-MAR-11
SMP_USER_DETAILS              |         0|12-MAR-11
SMP_VAB_ACTIVE_JOB_           |         0|12-MAR-11
SMP_VAB_SAVED_JOB_            |         0|12-MAR-11
SMRELEASE_S                   |         0|12-MAR-11
SMRUN_S                       |         0|12-MAR-11
SMSCHEDULE_S                  |         0|12-MAR-11
SMSHAREDORACLECLIENT_S        |         0|12-MAR-11
SMSHAREDORACLECONFIGURATION_S |         0|12-MAR-11
SMTABLESPACE_S                |         0|12-MAR-11
SMVCENDPOINT_S                |         0|12-MAR-11
SMWEEKLYENTRY_S               |         0|12-MAR-11
SPLIT_SKID                    |         0|19-JAN-24
SPM_EFIC_STANDARD             |        97|24-JUN-26
STATE                         |        56|13-MAR-11
SUBSYSTEMEQUIPMENT            |       462|13-MAR-11
SUPPLIERS                     |        76|13-MAR-11
SUPPRESS_BARCODE_PRINT        |        86|24-JUN-26
SYSTEMEQUIPMENT               |       132|13-MAR-11
SYSTEM_LOG                    |      2951|13-MAR-11
SYSTEM_OPTIONS                |         4|19-SEP-12
SYS_EXPORT_SCHEMA_01          |      1141|24-JUN-26
SYS_EXPORT_SCHEMA_02          |      2464|24-JUN-26
SYS_EXPORT_SCHEMA_03          |      4690|24-JUN-26
SYS_EXPORT_SCHEMA_04          |      1506|24-JUN-26
SYS_EXPORT_SCHEMA_05          |      4708|24-JUN-26
SYS_EXPORT_SCHEMA_06          |      1508|24-JUN-26
SYS_EXPORT_SCHEMA_07          |      4414|24-JUN-26
SYS_EXPORT_SCHEMA_08          |      1510|24-JUN-26
SYS_EXPORT_SCHEMA_09          |      4744|24-JUN-26
SYS_EXPORT_SCHEMA_10          |      1512|24-JUN-26
SYS_EXPORT_SCHEMA_11          |      4783|24-JUN-26
SYS_EXPORT_SCHEMA_12          |      5142|24-JUN-26
SYS_EXPORT_SCHEMA_13          |      1515|24-JUN-26
SYS_EXPORT_SCHEMA_14          |      4793|24-JUN-26
SYS_EXPORT_SCHEMA_15          |      1517|24-JUN-26
SYS_EXPORT_SCHEMA_16          |      1141|24-JUN-26
SYS_EXPORT_SCHEMA_17          |      1141|24-JUN-26
SYS_EXPORT_SCHEMA_18          |      1141|24-JUN-26
TEMP_TEST_RESULT              |         0|12-MAR-11
TEST_863                      |       287|24-JUN-26
TITLECRAFT                    |        46|13-MAR-11
TMD_CODES_CHEMICAL            |        29|24-JUN-26
TMD_CODES_MECHANICAL          |        66|24-JUN-26
TRANSPORTATION_METHOD         |         1|13-MAR-11
TRAPEZOID                     |       532|20-SEP-12
TRIM_TYPE                     |         2|24-JUN-26
TRUCK_APPOINT_LOCKS           |         0|24-JUN-26
TRUCK_APPOINT_RECEIVING       |         0|17-NOV-25
TRUCK_APPOINT_SHIPPING        |         0|17-NOV-25
TRUCK_LOCATION                |         9|24-JUN-26
TRUCK_RECEIVING_4DATE         |       330|24-JUN-26
TRUCK_SHIPPING_4DATE          |       462|24-JUN-26
UNIT_OF_MEASURE               |         8|24-JUN-26
USER_LOG                      |    100437|03-AUG-12
WH_ITEM                       |        14|13-MAR-11
WH_ITEM_DETAIL                |        21|13-MAR-11
WH_PACKING_ITEM               |         9|13-MAR-11
WINDOW_X_Y                    |        20|24-JUN-26
X1_SHAPE                      |       122|13-MAR-11
YIELD_STRENGTH                |        34|24-JUN-26
ZIP_CODE_DATA                 |     43191|24-JUN-26

412 rows selected.

===== 2. Columns =====

TABLE_NAME                    | COLUMN_ID|COLUMN_NAME                   |DATA_TYPE                                                                                                 |DATA_LENGTH|DATA_PRECISION|DATA_SCALE|N|DATA_DEFAULT
------------------------------|----------|------------------------------|----------------------------------------------------------------------------------------------------------|-----------|--------------|----------|-|--------------------------------------------------------------------------------
ABIS_INI                      |         1|PROCESS                       |VARCHAR2                                                                                                  |        100|              |          |N|
ABIS_INI                      |         2|SECTION                       |VARCHAR2                                                                                                  |         50|              |          |N|
ABIS_INI                      |         3|KEY                           |VARCHAR2                                                                                                  |        100|              |          |N|
ABIS_INI                      |         4|VALUE                         |VARCHAR2                                                                                                  |        250|              |          |Y|
ABIS_INI                      |         5|DESCRIPTION                   |VARCHAR2                                                                                                  |        500|              |          |Y|
ABIS_RELEASE                  |         1|INSTALL_COMPUTER              |VARCHAR2                                                                                                  |        128|              |          |N|
ABIS_RELEASE                  |         2|INSTALL_USER                  |VARCHAR2                                                                                                  |        128|              |          |N|
ABIS_RELEASE                  |         3|CURRENT_BUILD_DTTM            |DATE                                                                                                      |          7|              |          |N|
ABIS_RELEASE                  |         4|NEW_BUILD_DTTM                |DATE                                                                                                      |          7|              |          |N|
ABIS_RELEASE                  |         5|INSTALL_DTTM                  |DATE                                                                                                      |          7|              |          |N|
ABIS_RELEASE                  |         6|TEST_OR_PROD                  |VARCHAR2                                                                                                  |         10|              |          |N|
ABIS_RELEASE                  |         7|NOTE                          |VARCHAR2                                                                                                  |        100|              |          |Y|
ABIS_SCRAP_STATUS_X12         |         1|ABIS_SCRAP_STATUS             |NUMBER                                                                                                    |         22|             2|         0|N|
ABIS_SCRAP_STATUS_X12         |         2|TABLE70_MATERIAL_STATUS_OP    |VARCHAR2                                                                                                  |          3|              |          |N|
ABIS_SCRAP_TYPE_X12           |         1|ABIS_SCRAP_TYPE               |NUMBER                                                                                                    |         22|             2|         0|N|
ABIS_SCRAP_TYPE_X12           |         2|TABLE67_MATERIAL_CLASS        |VARCHAR2                                                                                                  |          3|              |          |N|
ABIS_X12_COIL                 |         1|ABIS_COIL_STATUS              |NUMBER                                                                                                    |         22|             2|         0|N|
ABIS_X12_COIL                 |         2|TABLE67_MATERIAL_CLASS        |VARCHAR2                                                                                                  |          3|              |          |N|
ABIS_X12_COIL                 |         3|TABLE70_MATERIAL_STATUS_OP    |VARCHAR2                                                                                                  |          3|              |          |N|
ABIS_X12_COIL                 |         4|TABLE68_MATERIAL_STATUS_QA    |VARCHAR2                                                                                                  |          3|              |          |Y|
ABIS_X12_SKID                 |         1|ABIS_SKID_STATUS              |NUMBER                                                                                                    |         22|             2|         0|N|
ABIS_X12_SKID                 |         2|TABLE67_MATERIAL_CLASS        |VARCHAR2                                                                                                  |          3|              |          |N|
ABIS_X12_SKID                 |         3|TABLE70_MATERIAL_STATUS_OP    |VARCHAR2                                                                                                  |          3|              |          |N|
ABIS_X12_SKID                 |         4|TABLE68_MATERIAL_STATUS_QA    |VARCHAR2                                                                                                  |          3|              |          |Y|
AB_AUDIT                      |         1|TABLE_NAME                    |VARCHAR2                                                                                                  |        200|              |          |N|
AB_AUDIT                      |         2|COLUMN_NAME                   |VARCHAR2                                                                                                  |        200|              |          |N|
AB_AUDIT                      |         3|VALUE_FROM                    |VARCHAR2                                                                                                  |        200|              |          |N|
AB_AUDIT                      |         4|VALUE_TO                      |VARCHAR2                                                                                                  |        200|              |          |N|
AB_AUDIT                      |         5|USER_ID                       |VARCHAR2                                                                                                  |         20|              |          |N|
AB_AUDIT                      |         6|EVENT_DATE                    |TIMESTAMP(6)                                                                                              |         11|              |         6|N|
AB_JOB                        |         1|AB_JOB_NUM                    |NUMBER                                                                                                    |         22|             8|         0|N|
AB_JOB                        |         2|SKETCH_ID                     |NUMBER                                                                                                    |         22|             5|         0|Y|
AB_JOB                        |         3|LINE_NUM                      |NUMBER                                                                                                    |         22|             2|         0|Y|
AB_JOB                        |         4|ORDER_ITEM_NUM                |NUMBER                                                                                                    |         22|             2|         0|N|
AB_JOB                        |         5|MATERIAL_YIELD                |NUMBER                                                                                                    |         22|             2|         2|Y|
AB_JOB                        |         6|ORDER_ABC_NUM                 |NUMBER                                                                                                    |         22|             8|         0|N|
AB_JOB                        |         7|TIME_DATE_STARTED             |DATE                                                                                                      |          7|              |          |Y|
AB_JOB                        |         8|TIME_DATE_FINISHED            |DATE                                                                                                      |          7|              |          |Y|
AB_JOB                        |         9|NUMBER_OF_MEN_USED            |NUMBER                                                                                                    |         22|             2|         0|Y|
AB_JOB                        |        10|CREATE_DATE                   |DATE                                                                                                      |          7|              |          |Y|
AB_JOB                        |        11|DUE_DATE                      |DATE                                                                                                      |          7|              |          |Y|
AB_JOB                        |        12|JOB_STATUS                    |NUMBER                                                                                                    |         22|             2|         0|Y|
AB_JOB                        |        13|JOB_NOTES                     |VARCHAR2                                                                                                  |       1024|              |          |Y|
AB_JOB                        |        14|SKETCH_JOB_NOTE               |VARCHAR2                                                                                                  |       1024|              |          |Y|
AB_JOB                        |        15|JOB_SHEET_WT                  |NUMBER                                                                                                    |         22|             8|         0|Y|
AB_JOB                        |        16|JOB_PROCESS_QUANTITY          |NUMBER                                                                                                    |         22|             8|         0|Y|
AB_JOB                        |        17|JOB_SKID                      |NUMBER                                                                                                    |         22|             8|         0|Y|
AB_JOB                        |        18|JOB_PIECES_SKID               |NUMBER                                                                                                    |         22|             6|         0|Y|
AB_JOB                        |        19|PITCH                         |NUMBER                                                                                                    |         22|            10|         5|Y|
AB_JOB                        |        20|PITCH_PLUS                    |NUMBER                                                                                                    |         22|             6|         6|Y|
